Citation_Key,Reference_Number,Full_Reference,Number_of_Occurrences,Context_1,Context_2,Context_3,Additional_Contexts
,5,"Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0)",1,"comptes rendus d'hospitalisation. In Degoulet P, Stephan JC, Venot A, Yvon PJ, rédacteurs. Informatique et Santé, Informatique et Gestion des Unités de Soins, Comptes Rendus du Colloque AIM-IF, Paris (pp. 2 46 – 5 6). [5] ## 1 8. Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and e...",,,
00 0),8,"Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first",2,"Natural Language Processing can be applied into various areas like Machine Translation, Email Spam detection, Information Extraction, Summarization, Question Answering etc. Next, we discuss some of the areas with the relevant work done in those directions. a) Machine Translation As most of the world...","b) Text Categorization Categorization systems input a large flow of data like official documents, military casualty reports, market data, newswires etc. and assign them to predefined categories or indices. For example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters ar...",,
02 0),6,"Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public",2,"than one way is also an area to work upon where more accuracy can be achieved. Language containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to design models intended for the broad use, however having a lot of data on which training and updating on regular basi...","than one way is also an area to work upon where more accuracy can be achieved. Language containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to design models intended for the broad use, however having a lot of data on which training and updating on regular basi...",,
1 99 8,1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for",1,"a powerful way of summarizing the information relevant to a user ’ s needs. In the case of a domain specific search engine, the automatic identification of important information can increase accuracy and efficiency of a directed search. There is use of hidden Markov models (HMMs) to extract the rele...",,,
2 02 0,6,"Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public",2,"than one way is also an area to work upon where more accuracy can be achieved. Language containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to design models intended for the broad use, however having a lot of data on which training and updating on regular basi...","than one way is also an area to work upon where more accuracy can be achieved. Language containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to design models intended for the broad use, however having a lot of data on which training and updating on regular basi...",,
96 7),4,Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation (MT) had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in ...",,,
99 2),2,Alshawi H (1 99 2) The core language engine. MIT press,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation (MT) had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in ...",,,
99 8),1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for",1,"a powerful way of summarizing the information relevant to a user ’ s needs. In the case of a domain specific search engine, the automatic identification of important information can increase accuracy and efficiency of a directed search. There is use of hidden Markov models (HMMs) to extract the rele...",,,
"Alshawi,1 99 2",2,Alshawi H (1 99 2) The core language engine. MIT press,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation (MT) had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in ...",,,
"Andreev,1 96 7",4,Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation (MT) had started. In fact, Research in this period was not completely localized. Russian and English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research almost died in ...",,,
"Androutsopoulos et al., 2 00 0",5,"Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0)",1,"b) Text Categorization Categorization systems input a large flow of data like official documents, military casualty reports, market data, newswires etc. and assign them to predefined categories or indices. For example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters ar...",,,
Attention mechanisms,7,"Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and",1,"Neural Networks those are recurrent in nature due to performing the same function for every data, also known as Recurrent Neural Networks (RNNs), have also been used in NLP, and found ideal for sequential data such as text, time series, financial data, speech, audio, video among others, see article ...",,,
"Bangalore et al., 2 00 0",8,"Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first",1,"Natural Language Processing can be applied into various areas like Machine Translation, Email Spam detection, Information Extraction, Summarization, Question Answering etc. Next, we discuss some of the areas with the relevant work done in those directions. a) Machine Translation As most of the world...",,,
Ref_1,1,"Ahonen H, Heinonen O, Klemettinen M, Verkamo AI (1 99 8) Applying data mining techniques for",1,"a powerful way of summarizing the information relevant to a user ’ s needs. In the case of a
domain specific search engine, the automatic identification of important information can
increase accuracy and efficiency of a directed search. There is use of hidden Markov models
(HMMs) to extract the rele...",,,
Ref_2,2,Alshawi H (1 99 2) The core language engine. MIT press,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation
(MT) had started. In fact, Research in this period was not completely localized. Russian and
English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research
almost died in ...",,,
Ref_3,3,"Alshemali B, Kalita J (2 02 0) Improving the reliability of deep neural networks in NLP: A review. Knowl-",1,"than one way is also an area to work upon where more accuracy can be achieved. Language
containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to
design models intended for the broad use, however having a lot of data on which training and
updating on regular basi...",,,
Ref_4,4,Andreev ND (1 96 7) The intermediary language as the focal point of machine translation. In: Booth AD,1,"In the late 1 94 0 s the term NLP wasn ’ t in existence, but the work regarding machine translation
(MT) had started. In fact, Research in this period was not completely localized. Russian and
English were the dominant languages for MT (Andreev,1 96 7) [ 4 ]. In fact, MT/NLP research
almost died in ...",,,
Ref_5,5,"Androutsopoulos I, Paliouras G, Karkaletsis V, Sakkis G, Spyropoulos CD, Stamatopoulos P (2 00 0)",2,"b)
Text Categorization
Categorization systems input a large flow of data like official documents, military casualty
reports, market data, newswires etc. and assign them to predefined categories or indices. For
example, The Carnegie Group ’ s Construe system (Hayes, 1 99 1) [ 5 4 ], inputs Reuters ar...","comptes rendus d'hospitalisation. In Degoulet P, Stephan JC, Venot A, Yvon PJ, rédacteurs. Informatique
et Santé, Informatique et Gestion des Unités de Soins, Comptes Rendus du Colloque AIM-IF, Paris (pp.
2 46 – 5 6). [5]
## 1 8. Briscoe EJ, Grover C, Boguraev B, Carroll J (1 98 7) A formalism and e...",,
Ref_6,6,"Baclic O, Tunis M, Young K, Doan C, Swerdfeger H, Schonfeld J (2 02 0) Artificial intelligence in public",1,"than one way is also an area to work upon where more accuracy can be achieved. Language
containing informal phrases, expressions, idioms, and culture-specific lingo make difficult to
design models intended for the broad use, however having a lot of data on which training and
updating on regular basi...",,,
Ref_7,7,"Bahdanau D, Cho K, Bengio Y (2 01 5) Neural machine translation by jointly learning to align and",1,"Neural Networks those are recurrent in nature due to performing the same function for every
data, also known as Recurrent Neural Networks (RNNs), have also been used in NLP, and
found ideal for sequential data such as text, time series, financial data, speech, audio, video
among others, see article ...",,,
Ref_8,8,"Bangalore S, Rambow O, Whittaker S (2 00 0) Evaluation metrics for generation. In proceedings of the first",1,"Natural Language Processing can be applied into various areas like Machine Translation,
Email Spam detection, Information Extraction, Summarization, Question Answering etc. Next,
we discuss some of the areas with the relevant work done in those directions.
a)
Machine Translation
As most of the world...",,,
